id,rssi,snr,relay
1,-112,-18.5,1
2,-113,-16.6,1
3,-81,-4.1,0
4,-73,1.9,0
5,-71,2.9,0
6,-113,-17.3,1
7,-91,-4.5,0
8,-106,-15.9,1
9,-56,12.0,0
10,-87,-5.3,1
11,-98,-10.7,1
12,-63,7.5,0
13,-82,1.8,0
14,-93,-6.2,1
15,-82,-2.3,0
16,-71,4.1,0
17,-88,-2.9,0
18,-60,8.8,0
19,-86,-1.9,1
20,-117,-18.3,1
21,-62,10.8,0
22,-89,-3.1,1
23,-62,7.0,0
24,-60,8.0,0
25,-85,-5.5,1
26,-68,4.5,0
27,-89,-3.1,1
28,-103,-13.0,1
29,-77,-0.6,0
30,-88,-5.5,0
31,-103,-14.0,1
32,-67,6.3,0
33,-61,9.9,0
34,-114,-18.6,1
35,-69,2.9,0
36,-57,10.8,0
37,-89,-3.3,1
38,-114,-16.4,1
39,-93,-7.0,1
40,-82,-1.2,0
41,-115,-17.1,1
42,-71,2.7,0
43,-77,0.4,0
44,-82,-2.2,0
45,-58,7.3,0
46,-106,-12.9,1
47,-58,12.0,0
48,-77,-0.5,0
49,-69,6.6,0
50,-67,5.2,0
51,-107,-12.7,1
52,-117,-18.4,1
53,-97,-8.6,1
54,-99,-10.1,1
55,-99,-6.1,1
56,-68,9.0,0
57,-86,-4.9,0
58,-76,2.4,1
59,-94,-5.7,1
60,-85,1.5,0
61,-91,-5.7,0
62,-63,6.8,0
63,-86,-2.7,0
64,-110,-17.4,1
65,-95,-9.5,1
66,-100,-9.2,1
67,-103,-15.1,1
68,-90,-5.2,1
69,-89,-2.1,0
70,-67,8.5,0
71,-105,-8.7,1
72,-93,-7.9,0
73,-65,4.6,0
74,-110,-19.6,1
75,-83,-2.7,0
76,-84,-2.5,0
77,-106,-13.5,1
78,-113,-15.0,1
79,-58,12.0,0
80,-73,5.8,0
81,-79,-1.4,0
82,-101,-10.7,1
83,-103,-9.7,1
84,-70,5.4,0
85,-119,-19.2,1
86,-75,2.4,0
87,-59,8.0,0
88,-77,4.0,0
89,-60,9.0,0
90,-56,12.0,0
91,-75,4.1,0
92,-95,-10.0,0
93,-97,-8.9,1
94,-75,0.0,0
95,-58,10.8,0
96,-99,-10.6,1
97,-85,-4.2,0
98,-113,-14.4,1
99,-112,-14.7,1
100,-77,2.5,1
101,-82,-2.5,0
102,-93,-5.2,1
103,-112,-18.9,1
104,-76,0.9,0
105,-103,-11.4,1
106,-89,-4.4,1
107,-100,-7.6,0
108,-84,-3.2,0
109,-58,9.0,0
110,-71,4.0,0
111,-77,6.7,0
112,-57,11.4,0
113,-64,11.5,0
114,-57,9.1,0
115,-105,-11.7,1
116,-97,-10.3,1
117,-84,-5.8,0
118,-108,-13.5,1
119,-110,-11.2,1
120,-66,3.6,0
121,-68,5.1,0
122,-72,3.0,0
123,-72,4.0,0
124,-65,7.1,0
125,-83,0.1,0
126,-86,-3.8,0
127,-110,-15.9,1
128,-98,-9.2,1
129,-117,-20.0,1
130,-101,-12.6,1
131,-97,-7.4,1
132,-119,-19.7,1
133,-89,-8.0,0
134,-56,12.0,0
135,-109,-15.8,1
136,-109,-14.7,1
137,-87,-1.6,1
138,-96,-10.1,1
139,-106,-11.6,1
140,-56,12.0,0
141,-63,7.8,0
